[104] Error : 47.64132, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[105] Error : 47.64119, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[106] Error : 47.64107, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[107] Error : 47.64095, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[108] Error : 47.64085, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[109] Error : 47.64075, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[110] Error : 47.64068, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[111] Error : 47.64060, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[112] Error : 47.64054, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[113] Error : 47.64047, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[114] Error : 47.64040, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[115] Error : 47.64037, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[116] Error : 47.64031, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[117] Error : 47.64028, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[118] Error : 47.64026, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[119] Error : 47.64022, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[120] Error : 47.64020, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[121] Error : 47.64019, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[122] Error : 47.64016, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[123] Error : 47.64014, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[124] Error : 47.64013, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[125] Error : 47.64011, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[126] Error : 47.64013, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[127] Error : 47.64009, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[128] Error : 47.64010, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[129] Error : 47.64008, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[130] Error : 47.64008, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[131] Error : 47.64008, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[132] Error : 47.64007, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[133] Error : 47.64006, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[134] Error : 47.64006, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[135] Error : 47.64005, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[136] Error : 47.64005, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[137] Error : 47.64005, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[138] Error : 47.64004, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[139] Error : 47.64005, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[140] Error : 47.64003, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[141] Error : 47.64003, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[142] Error : 47.64003, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[143] Error : 47.64003, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[144] Error : 47.64002, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[145] Error : 47.64001, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
